,Image 1,Image 2,Similarity
1285,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (16 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (25 of 37).jpg,0.8851454854011536
119,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (11 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (16 of 21).jpg,0.8758143782615662
132,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (11 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (9 of 21).jpg,0.856816291809082
187,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (12 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (9 of 21).jpg,0.855657160282135
1574,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (27 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (9 of 37).jpg,0.8488853573799133
1537,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (25 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (7 of 37).jpg,0.8411774039268494
1218,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (14 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (18 of 37).jpg,0.841126024723053
1216,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (14 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (16 of 37).jpg,0.8401421904563904
1279,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (16 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,0.8386804461479187
1540,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (26 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (27 of 37).jpg,0.8377580046653748
1168,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (12 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (3 of 37).jpg,0.8362102508544922
